Unnamed: 0,Chunk,Model,Model.type,Surface.Area..cm.2.,Area..cm.2.,Max.height..cm.,Min.height..cm.,Height.range..cm.,Volume..cm.3.,Extent.Volume..cm.3.,Chunk_numeric,Model_numeric,Model.type_numeric
3,1-1 (FE-POC57),1-1 (FE-POC57)_closed,Mesh,9813.414766,1355.602335,25.97704327,-7.502395382,33.47943866,15891.28657,60352.61837,,,
6,1-2 (FE-POC04),1-2 (FE-POC04)_closed,Mesh,4820.036996,739.8178897,20.87362262,-3.39173647,24.26535909,5790.364269,24097.8284,,,
9,1-3 (FE-POC29),1-3 (FE-POC29)_closed,Mesh,7342.270204,1217.489631,24.79537382,-6.857461248,31.65283507,17036.90771,52916.80639,,,
12,1-4 (FE-POC43),1-4 (FE-POC43)_closed,Mesh,1088.620092,231.9805872,13.28102104,-4.430521747,17.71154279,1079.343229,5312.064444,,,
15,1-5 (FE-POC23),1-5 (FE-POC23)_closed,Mesh,1606.170704,305.4129736,24.41420725,7.019796271,17.39441098,1731.180214,6919.338144,,,
18,1-6 (FE-POC01),1-6 (FE-POC01)_closed,Mesh,11295.81476,1824.924159,32.15818723,-9.706157386,41.86434462,15165.99746,109950.9678,,,
21,1-7 (FE-POC09),1-7 (FE-POC09)_closed,Mesh,2615.411396,585.006466,9.394770983,-7.475093122,16.8698641,4687.379413,13059.41821,,,
24,1-8 (FE-POC37),1-8 (FE-POC37)_closed,Mesh,10795.83218,1507.539616,29.04319362,-11.72857884,40.77177246,15612.9786,80896.4296,,,
27,1-9 (FE-POC30),1-9 (FE-POC30)_closed,Mesh,1982.169194,393.9200451,9.765577938,-6.408134596,16.17371253,1958.879404,8630.332949,,,
30,1-10 (FE-POC48),1-10 (FE-POC48)_closed,Mesh,5927.273272,919.9830451,21.15204698,-8.425414052,29.57746104,6396.440189,35485.34905,,,
33,1-12 (FE-POC13),1-12 (FE-POC13)_closed,Mesh,1969.45119,506.3995867,8.800860094,-7.490229633,16.29108973,3894.693758,11635.78326,,,
36,1-13 (FE-POC18),1-13 (FE-POC18)_closed,Mesh,1010.610234,240.3445607,5.602947621,-8.436570116,14.03951774,1501.726994,4670.971535,,,
39,1-14 (FE-POC56),1-14 (FE-POC56)_closed,Mesh,6734.388232,1235.120749,20.16260396,-11.70738219,31.86998615,16181.84986,55435.7701,,,
42,1-15 (FE-POC46),1-15 (FE-POC46)_closed,Mesh,4448.5951,785.2835054,15.28493866,-7.948858111,23.23379677,6061.47245,23834.24544,,,
45,2-1 (FE-POC05),2-1 (FE-POC05)_closed,Mesh,378.3082509,103.5924374,0.820992912,-6.742561999,7.563554911,350.3800359,943.9025642,,,
48,2-2 (FE-POC22),2-2 (FE-POC22)_closed,Mesh,1705.224642,321.1648555,8.259443288,-6.639626571,14.89906986,1777.300142,6555.570098,,,
51,2-3 (FE-POC20),2-3 (FE-POC20)_closed,Mesh,12643.57886,2096.759219,25.13596572,-12.66547117,37.80143689,24901.30542,104025.8057,,,
54,2-4 (FE-POC52),2-4 (FE-POC52)_closed,Mesh,944.83831,215.5612301,4.347566082,-7.919326638,12.26689272,877.7437628,3483.989245,,,
57,2-5 (FE-POC35),2-5 (FE-POC35)_closed,Mesh,1305.590954,237.7316174,19.49317808,5.2324714,14.26070668,1555.678929,4387.074515,,,
60,2-6 (FE-POC54),2-6 (FE-POC54)_closed,Mesh,3152.616023,616.7814251,15.26053411,-9.240621606,24.50115572,7466.379921,19074.43947,,,
63,2-7 (FE-POC42),2-7 (FE-POC42)_closed,Mesh,4783.814336,757.8864763,20.88084545,-5.880819152,26.76166461,7121.455008,24760.02308,,,
66,2-8 (FE-POC16),2-8 (FE-POC16)_closed,Mesh,2354.526707,423.5534724,10.26098778,-7.438851838,17.69983961,3237.866405,9901.944922,,,
69,2-9 (FE-POC07),2-9 (FE-POC07)_closed,Mesh,11253.63142,1965.662399,29.89337655,-8.253752963,38.14712951,21591.65801,99789.20203,,,
72,2-10 (FE-POC59),2-10 (FE-POC59)_closed,Mesh,8606.932906,1691.196298,25.14053115,-8.705888656,33.84641981,22746.53637,78018.10011,,,
75,2-11 (FE-POC17),2-11 (FE-POC17)_closed,Mesh,8250.75476,1540.876204,24.91369226,-9.928247853,34.84194011,22357.16402,72837.93935,,,
78,2-12 (FE-POC11),2-12 (FE-POC11)_closed,Mesh,2593.24046,443.3887598,16.17580967,-3.823038838,19.99884851,2677.26709,12516.20626,,,
81,2-13 (FE-POC40),2-13 (FE-POC40)_closed,Mesh,693.7156717,155.7834839,4.365559843,-6.820808637,11.18636848,791.5610154,2200.841301,,,
84,2-14 (FE-POC33),2-14 (FE-POC33)_closed,Mesh,3146.411688,720.0817408,19.99420949,-3.729306252,23.72351575,7947.722998,21495.23783,,,
87,2-15 (FE-POC51),2-15 (FE-POC51)_closed,Mesh,572.8487515,151.8613175,4.008952829,-6.55950416,10.56845699,715.2689372,2095.971181,,,
90,3-1 (FE-POC27),3-1 (FE-POC27)_closed,Mesh,849.5767564,210.3731155,5.506206845,-7.763683796,13.26989064,618.8491265,4216.832575,,,
93,3-2 (FE-POC21),3-2 (FE-POC21)_closed,Mesh,1616.497996,305.9654819,10.60643068,-5.279370701,15.88580138,1437.77559,6185.906426,,,
96,3-3 (FE-POC02),3-3 (FE-POC02)_closed,Mesh,658.8727495,148.061141,5.961866621,-6.536544823,12.49841144,536.7268501,2549.920093,,,
99,3-4 (FE-POC45),3-4 (FE-POC45)_closed,Mesh,3395.025719,790.1108542,11.38690915,-8.678668323,20.06557747,5709.406346,20441.75699,,,
102,3-5 (FE-POC15),3-5 (FE-POC15)_closed,Mesh,2453.604301,539.6761119,12.8089526,-8.450528243,21.25948084,5734.919766,15395.57672,,,
105,3-6 (FE-POC08),3-6 (FE-POC08)_closed,Mesh,4698.286227,921.4074864,15.12662142,-8.50719522,23.63381664,10974.64664,26781.14461,,,
108,3-7 (FE-POC41),3-7 (FE-POC41)_closed,Mesh,6782.576148,1124.323258,29.1529774,-7.527698698,36.6806761,16119.40587,54048.81955,,,
111,3-8 (FE-POC55),3-8 (FE-POC55)_closed,Mesh,3424.922371,668.1326744,14.71245869,-8.044223306,22.756682,6637.309943,19912.13485,,,
114,3-9 (FE-POC10),3-9 (FE-POC10)_closed,Mesh,457.1307095,93.80911807,5.711204868,-5.086280194,10.79748506,419.1308834,1472.461989,,,
117,3-10 (FE-POC47),3-10 (FE-POC47)_closed,Mesh,5856.068183,1336.420979,21.9128084,-6.047150767,27.95995917,14065.1544,51472.89925,,,
120,3-11 (FE-POC47),3-11 (FE-POC47)_closed,Mesh,6362.080493,1497.912983,19.74660934,-9.003078798,28.74968814,21517.14244,54912.22868,,,
123,3-12 (FE-POC31),3-12 (FE-POC31)_closed,Mesh,6210.588749,1035.930207,25.00822681,-3.715814485,28.7240413,10148.03306,37948.03674,,,
126,3-13 (FE-POC25),3-13 (FE-POC25)_closed,Mesh,373.5471284,97.98737367,2.793243423,-7.14709025,9.940333673,387.2934824,1297.302483,,,
129,3-14 (FE-POC12),3-14 (FE-POC12)_closed,Mesh,3032.272601,647.0988972,19.70121628,-7.179535876,26.88075215,4793.433477,22826.30491,,,
132,3-15 (FE-POC44),3-15 (FE-POC44)_closed,Mesh,449.5584502,132.4143955,5.472152415,-4.86420871,10.33636112,264.248963,1961.880857,,,
135,4-1 (FE-POC53),4-1 (FE-POC53)_closed,Mesh,3395.132747,620.4232102,12.98999365,-5.809118325,18.79911197,3081.556816,15770.00775,,,
138,4-2 (FE-POC34),4-2 (FE-POC34)_closed,Mesh,7248.688118,1248.263055,28.17060744,-3.994367593,32.16497503,12622.70167,54949.31138,,,
141,4-3 (FE-POC49),4-3 (FE-POC49)_closed,Mesh,236.8083716,77.80793175,0.940905714,-7.236761317,8.177667031,162.8222793,908.4660429,,,
144,4-4 (FE-POC06),4-4 (FE-POC06)_closed,Mesh,3972.813235,916.5147973,15.87871591,-8.297734363,24.17645027,10630.27341,30226.27017,,,
147,4-5 (FE-POC38),4-5 (FE-POC38)_closed,Mesh,5134.659333,903.9975441,21.95289432,-5.562810997,27.51570531,11853.63538,35851.37753,,,
150,4-6 (FE-POC32),4-6 (FE-POC32)_closed,Mesh,7849.939926,1077.347585,30.32550205,-3.284490862,33.60999292,7100.559312,49728.19973,,,
153,4-7 (FE-POC14),4-7 (FE-POC14)_closed,Mesh,4804.53536,779.3743897,21.90170986,-4.514278632,26.41598849,5684.156701,25726.07634,,,
156,4-8 (FE-POC26),4-8 (FE-POC26)_closed,Mesh,462.0771075,112.4021065,-1.27053654,-10.02187023,8.751333694,419.3794304,1305.494361,,,
159,4-9 (FE-POC60),4-9 (FE-POC60)_closed,Mesh,5693.270692,1089.540976,19.61980695,-4.987809043,24.60761599,8836.73804,36655.617,,,
162,4-10 (FE-POC24),4-10 (FE-POC24)_closed,Mesh,10791.832,1841.169318,22.6845432,-8.303257425,30.98780063,24267.40183,77810.49542,,,
165,4-11 (FE-POC03),4-11 (FE-POC03)_closed,Mesh,1250.32525,252.2075931,11.16771655,-4.031848292,15.19956484,1644.064752,5036.419615,,,
168,4-12 (FE-POC39),4-12 (FE-POC39)_closed,Mesh,2160.52485,471.5759781,11.57386313,-8.276510127,19.85037325,4522.143504,12238.22008,,,
171,4-13 (FE-POC36),4-13 (FE-POC36)_closed,Mesh,1278.072438,286.5019035,6.036731849,-6.550035954,12.5867678,1565.611462,4775.851203,,,
174,4-14 (FE-POC35),4-14 (FE-POC35)_closed,Mesh,6075.164823,913.5046585,22.78851612,-8.747915581,31.5364317,10960.59597,37912.06778,,,
177,4-15 (FE-POC32),4-15 (FE-POC32)_closed,Mesh,5097.697841,893.2935173,14.97910088,-9.858203267,24.83730415,9940.693505,29697.19176,,,
