Unnamed: 0,X,coral_id,slurry_date,nub,slurry_volume,slurry_notes,coral_num,dry_weight,dip_weight,wax_weight,surface_area,protein_analysis_date,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_Zoox_cells,num_Zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,Year,protein_mg_cm2,carb_mg_cm2,zooxDensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxDensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se,coral_id_numeric,slurry_date_numeric,slurry_notes_numeric,protein_analysis_date_numeric,carb_analysis_date_numeric,haplotype_numeric,dna_collection_date_numeric,branch_width_numeric
1,1,FE-POC01,8/25/2019,2,17.5,,1,25.6662,27.0227,1.3565,5204.185,4/30/2021,0.799,0.00450925,1.530333333,0.008353309,5/5/2021,0.7255,0.0165,0.217,0.005,75.5,4.956630087,1a_Pe,8/28/2019,wide,0.77455,0.00135,0.8274,0.0027,0.05285,0.00135,0.81155,0.00205,0.01585,0.00065,2019,0.005146018699854,0.0007297011924057,755000.0,2538.82212104297,0.0532984511503722,2.8089490957758e-05,1.68133915300859e-05,49566.30087,166.675524645069,0.0021857408989111,,,,,,,,
2,2,FE-POC02,8/25/2019,2,20.5,,2,9.9323,10.3193,0.387,1529.78,4/27/2021,0.268,0.113509177,0.536333333,0.23335119,5/3/2021,0.095,0.001527525,0.031666667,0.000333333,13.73333333,0.870900358,Did not amplify,12/16/2019,wide,0.77575,0.00795,0.82235,0.00805,0.0466,9.99999999999994e-05,0.81195,0.00815,0.0104,0.0001,2019,0.0071871990263305,0.0004243529615369,137333.3333,1840.35177126776,0.139366444848279,0.0031270505530207,4.4668687654434e-06,8709.00358,116.706044914955,0.0013400619696949,,,,,,,,
3,3,FE-POC03,8/25/2019,2,12.0,2mL spilled,3,5.562,5.9605,0.3985,1573.365,4/30/2021,0.351666667,0.005174725,0.178,0.002516611,5/5/2021,0.128666667,0.001666667,0.041666667,0.000666667,12.83333333,0.546847461,8a,8/28/2019,tight,0.7708,0.0012,0.8183,0.0006,0.0475,0.0006,0.80705,0.00065,0.01125,4.99999999999997e-05,2019,0.0013575997940719,0.0003177902165104,128333.3333,978.793858767673,0.0858033577714008,1.91941043559505e-05,5.08464596581213e-06,5468.47461,41.7078651933912,0.0003813482567617,,,,,,,,
4,4,FE-POC04,8/25/2019,2,15.0,,4,16.1463,17.0426,0.8963,3460.027,4/27/2021,0.540666667,0.001333333,1.097666667,0.002333333,5/3/2021,0.546,0.011590226,0.160333333,0.003179797,86.16666667,2.673759507,1a_Pe,8/28/2019,wide,0.7788,0.0003,0.82645,0.00015,0.04765,0.00015,0.8139,9.9999999999989e-05,0.01255,4.99999999999997e-05,2019,0.0047586333878319,0.0006950812797125,861666.6667,3735.51998308106,0.0544070898868708,1.01155265551396e-05,1.37851395379285e-05,26737.59507,115.913524966713,0.0002167613142903,,,,,,,,
5,5,FE-POC05,8/25/2019,2,19.5,,5,5.1298,5.4249,0.2951,1181.479,4/27/2021,0.203,0.002645751,0.402666667,0.005607535,5/3/2021,0.188333333,0.000881917,0.058333333,0.000333333,24.41666667,0.972291233,1a,12/16/2019,tight,0.7782,0.0061,0.82285,0.00715,0.04465,0.00105,0.8133,0.0068,0.00955,0.00035,2019,0.0066459073809183,0.0009627763113013,244166.6667,4029.90658373953,0.157620237008021,9.25508896053167e-05,5.5015734515806e-06,9722.91233,160.474109514431,0.0057766579008175,,,,,,,,
6,6,FE-POC06,8/25/2019,1,32.5,"very clumpy, working",6,24.5807,25.9953,1.4146,5424.384,4/27/2021,0.673666667,0.004910307,1.371,0.010148892,5/3/2021,0.507,0.011676187,0.149333333,0.003282953,47.08333333,2.220627584,Did not amplify,12/16/2019,tight,0.7779,0.0007,0.82605,0.00055,0.04815,0.00015,0.8134,0.0006,0.01265,4.99999999999997e-05,2019,0.0082142967754495,0.0008947252485259,470833.3333,2820.98083989813,0.0757920161994431,6.08067183296758e-05,1.96696938306728e-05,22206.27584,133.048096299967,0.000299573186559,,,,,,,,
7,7,FE-POC07,8/25/2019,2,22.5,,7,13.192,14.0825,0.8905,3438.045,4/27/2021,0.345,0.005507571,0.695666667,0.011289129,5/3/2021,0.335333333,0.006765928,0.1,0.002081666,57.58333333,2.840343378,1a_Pe,8/28/2019,wide,0.77665,0.00205,0.8234,0.0022,0.04675,0.00015,0.8117,0.0023,0.0117,0.0001,2019,0.0045527327325558,0.0006544416957893,575833.3333,3768.4934313687,0.0765696784073507,7.38807672674441e-05,1.36232902710698e-05,28403.43378,185.883913692229,0.0006544416957893,,,,,,,,
8,8,FE-POC08,8/29/2019,2,20.5,working slurry; biopsy sample,8,12.8502,13.7541,0.9039,3488.831,4/30/2021,1.451,0.00450925,0.707333333,0.002185813,5/5/2021,0.588333333,0.005238745,0.176,0.001527525,86.75,2.73895855,8a,8/28/2019,tight,0.7678,,0.8213,,0.0535,,0.806,,0.0153,,2019,0.004156215456266,0.0010341572864951,867500.0,5097.33776155967,0.0899011732009948,1.28436047776462e-05,8.97557448325815e-06,27389.5855,160.938292152873,,,,,,,,,
9,9,FE-POC09,8/25/2019,1,20.0,,9,6.0721,6.4575,0.3854,1523.716,4/27/2021,0.195666667,0.001763834,0.387666667,0.003480102,5/3/2021,0.135333333,0.004176655,0.043,0.001,12.43333333,0.800406985,8a,8/28/2019,tight,0.778,0.0042,0.8243,0.0042,0.0463,0.0,0.81305,0.00445,0.01125,0.00025,2019,0.0050884373072147,0.0005644096406416,124333.3333,1631.97516203807,0.147665312958583,4.56791423073591e-05,1.31258055963185e-05,8004.06985,105.059864830454,0.0032814513990796,,,,,,,,
10,10,FE-POC10,8/25/2019,1,21.0,,10,8.1807,8.7923,0.6116,2381.014,4/30/2021,0.274,0.001732051,0.515333333,0.003480102,5/5/2021,0.296,0.002516611,0.091333333,0.000666667,53.08333333,1.4059308,1a,8/28/2019,wide,0.777,0.0035,0.82315,0.00335,0.04615,0.00015,0.81265,0.00335,0.0105,0.0,2019,0.004545122369293,0.0008055391497068,530833.3333,4681.82883397578,0.0926076033152262,3.06937052869072e-05,5.87985076946209e-06,14059.308,123.999887442913,0.0,,,,,,,,
11,11,FE-POC11,8/29/2019,2,20.0,working slurry,11,4.4757,4.9257,0.45,1768.55,4/30/2021,0.120666667,0.005206833,0.219,0.009865766,5/5/2021,0.124333333,0.00120185,0.040666667,0.000333333,16.63333333,0.640551726,1a_Pe,8/28/2019,wide,0.76615,0.00085,0.81425,0.00125,0.0481,0.0004,0.80235,0.00115,0.0119,0.0001,2019,0.002476605128495,0.0004598871052557,166333.3333,1881.01363602952,0.134573520680784,0.000111568980238,3.76956263605779e-06,6405.51726,72.4380680218258,0.0011308699216872,,,,,,,,
12,12,FE-POC12,8/25/2019,1,20.0,,12,8.0388,8.5694,0.5306,2074.024,4/30/2021,0.227,0.002081666,0.425333333,0.003929942,5/5/2021,0.182,0.001732051,0.058,0.00057735,17.06666667,0.910896153,1a,12/16/2019,wide,0.774,0.0051,0.81945,0.00545,0.04545,0.00035,0.8089,0.0054,0.01055,4.99999999999997e-05,2019,0.0041015275908089,0.0005592992173668,170666.6667,1645.75401923989,0.101734599021034,3.78967842223619e-05,5.5674379852885e-06,9108.96153,87.8385354267839,0.00048215449773,,,,,,,,
13,13,FE-POC13,8/25/2019,2,12.5,,13,9.0189,9.5725,0.5536,2161.194,4/30/2021,0.95,0.007505553,0.466,0.003511885,5/5/2021,0.421333333,0.001333333,0.128333333,0.000333333,32.0,1.218813869,1a,12/16/2019,tight,0.7717,,0.8195,,0.0478,,0.8076,,0.0119,,2019,0.002695269374244,0.0007422594466299,320000.0,1850.8287548457,0.0688276943208245,2.03121804428478e-05,1.92794469168432e-06,12188.13869,70.4942423609357,,,,,,,,,
14,14,FE-POC14,8/25/2019,2,15.0,a little clumpy,14,13.504,14.4393,0.9353,3607.837,4/30/2021,0.998666667,0.006333333,0.489333333,0.003179797,5/5/2021,0.728333333,0.01537675,0.216,0.00450925,57.5,1.872852305,Did not amplify,8/28/2019,wide,0.76655,0.00015,0.821,0.0077,0.05445,0.00785,0.80645,0.00575,0.01455,0.00195,2019,0.0020344599811466,0.0008980450059135,575000.0,2390.62906666792,0.0604933094261188,1.32203741466147e-05,1.87477289023867e-05,18728.52305,77.8660027462438,0.0081073507478303,,,,,,,,
15,15,FE-POC15,8/25/2019,1,20.0,,15,9.2022,9.9185,0.7163,2777.827,4/27/2021,0.404,0.004358899,0.816333333,0.009333333,5/3/2021,0.411,0.00781025,0.122,0.002309401,54.08333333,2.001735358,10,8/28/2019,tight,0.77015,0.00435,0.8682,0.0046,0.09805,0.00025,0.8432,0.004,0.025,0.0006,2019,0.0058774958483735,0.0008783844350278,540833.3333,3893.93099930269,0.179996810456519,6.71988068371428e-05,1.66273925626038e-05,20017.35358,144.122391927215,0.0043199234509564,,,,,,10.0,,
16,16,FE-POC16,8/25/2019,3,25.0,a little clumpy,16,8.7344,9.298,0.5636,2199.094,4/30/2021,0.683666667,0.002848001,0.338,0.001527525,5/5/2021,0.207333333,0.002403701,0.064333333,0.000881917,12.36666667,0.721561737,1a_Pm,8/28/2019,tight,0.77945,0.00085,0.82645,0.00045,0.047,0.0004,0.81565,0.00035,0.0108,0.0001,2019,0.0038424914987717,0.0007313617903554,123666.6667,1405.88199845027,0.122777834871997,1.73653900197081e-05,1.00259129441488e-05,7215.61737,82.029433143831,0.0011368318043703,,,,,,,,
17,17,FE-POC17,8/25/2019,1,22.5,,17,14.0119,14.8697,0.8578,3314.112,4/30/2021,0.32,0.004725816,0.604,0.009291573,5/5/2021,0.161666667,0.000666667,0.051333333,0.000333333,45.66666667,2.347297152,3b,8/28/2019,tight,0.7872,0.006,0.8357,0.0061,0.0485,9.99999999999994e-05,0.8239,0.0063,0.0118,0.0002,2019,0.0041006459648919,0.0003485096437597,456666.6667,3100.37802003976,0.08011195759226,6.30818730628295e-05,2.26304738644922e-06,23472.97152,159.361499913099,0.0013578297896993,,,,,,,,
18,18,FE-POC18,8/25/2019,1,18.5,,18,8.5438,9.1447,0.6009,2340.461,4/30/2021,0.335333333,0.000881917,0.634,0.002081666,5/5/2021,0.199333333,0.002333333,0.062,0.00057735,44.5,1.625471274,1a_Pm,12/16/2019,tight,0.7732,0.0011,0.8212,0.0013,0.048,0.0002,0.81015,0.00155,0.01105,0.00025,2019,0.0050114058726037,0.0004900743913271,445000.0,3517.46942162249,0.0873439036155698,1.64543741596207e-05,4.56362015859269e-06,16254.71274,128.484168584736,0.0019761064166418,,,,,,,,
19,19,FE-POC19,8/29/2019,2,21.0,working slurry,19,12.5914,13.4847,0.8933,3448.657,4/27/2021,0.564333333,0.000666667,1.145666667,0.001333333,5/3/2021,0.402,0.004163332,0.119333333,0.001452966,103.0,4.404543109,1a_Pm,12/16/2019,tight,0.7676,,0.8168,,0.0492,,0.8032,,0.0136,,2019,0.0069763389072905,0.0007266596802755,1030000.0,6272.00675509336,0.0828148464750191,8.11910056581446e-06,8.84758501642813e-06,44045.43109,268.207030415028,,,,,,,,,
20,20,FE-POC20,8/25/2019,1,15.0,,20,16.9455,17.7202,0.7747,2999.163,4/30/2021,0.394,0.01106044,0.747666667,0.020795299,5/3/2021,0.479,0.008020806,0.141333333,0.002333333,81.75,4.15627492,1a,12/16/2019,wide,0.77745,0.01185,0.82685,0.01135,0.0494,0.0005,0.81375,0.01175,0.0131,0.0004,2019,0.0037393766210772,0.0007068638800225,817500.0,4088.64073076388,0.0655182796000084,0.0001040055125379,1.16699209079333e-05,41562.7492,207.871742216078,0.0020005581557254,,,,,,,,
21,21,FE-POC21,8/25/2019,1,20.0,,21,17.6445,18.9203,1.2758,4898.332,4/30/2021,0.737,0.005196152,0.363333333,0.002603417,5/5/2021,0.374333333,0.000333333,0.113,0.0,57.88888889,1.887157992,Chimeric sequence,12/16/2019,wide,0.7748,0.0037,0.826,0.003,0.0512,0.0007,0.81135,0.00315,0.01465,0.00015,2019,0.0014834981908127,0.0004613815478411,578888.8889,2363.61638574111,0.0598162803174632,1.06298103109385e-05,0.0,18871.57992,77.0530863159132,0.00061245338209,,,,,,,,
22,22,FE-POC22,8/25/2019,2,20.0,,22,5.9068,6.2909,0.3841,1518.789,4/30/2021,0.167,0.004932883,0.308666667,0.00983757,5/5/2021,0.273,0.115503247,0.084333333,0.033834565,33.16666667,1.482468353,1a,12/16/2019,wide,0.77425,0.00215,0.81915,0.00125,0.0449,0.0009,0.80965,0.00125,0.0095,0.0,2019,0.0040646418561103,0.001110533892463,331666.6667,4367.51473311961,0.125099668222511,0.0001295449203279,0.0004455466164161,14824.68353,195.217156958603,0.0,,,,,,,,
23,23,FE-POC23,8/25/2019,2,20.0,"mismatch with dipped nub number, check nub",23,8.7646,9.3266,0.562,2193.03,4/30/2021,0.465,0.002645751,0.232333333,0.00120185,5/5/2021,0.230333333,0.009871395,0.071333333,0.002848001,29.375,1.398514351,1a_Pe,8/28/2019,wide,0.77435,0.00375,0.8204,0.0041,0.04605,0.00035,0.81015,0.00405,0.01025,4.99999999999997e-05,2019,0.0021188340606375,0.000650545893125,293750.0,2678.94192053916,0.0934779733975367,1.09606343734468e-05,2.59732060208935e-05,13985.14351,127.541743706196,0.0004559901141343,,,,,,,,
24,24,FE-POC24,8/25/2019,1,15.0,,24,15.181,16.2493,1.0683,4111.907,4/27/2021,0.703666667,0.001666667,1.432666667,0.003179797,5/3/2021,0.575666667,0.00120185,0.169,0.00057735,87.33333333,4.292935235,3b,8/28/2019,tight,0.77195,0.00085,0.8211,0.0004,0.04915,0.00045,0.8077,0.0004,0.0134,0.0,2019,0.0052262855178874,0.0006165022701145,873333.3333,3185.86971920814,0.0488824285179602,1.15997163846361e-05,2.10613956006301e-06,42929.35235,156.603805788895,0.0,,,,,,,,
25,25,FE-POC25,8/25/2019,1,22.5,,25,3.5286,3.8193,0.2907,1164.803,4/27/2021,0.114,0.003785939,0.220666667,0.00788106,5/3/2021,0.094,0.002645751,0.031,0.00057735,19.73333333,0.876163703,1a_Pm,8/28/2019,tight,0.7694,0.0011,0.8147,0.0002,0.0453,0.0009,0.80485,0.00045,0.00985,0.00025,2019,0.0042625233687584,0.0005988137049784,197333.3333,3811.80336868123,0.190268225614117,0.0001522350560566,1.11524223409452e-05,8761.63703,169.244784890664,0.0048291427820841,,,,,,,,
26,26,FE-POC26,8/25/2019,2,20.0,,26,6.488,6.929,0.441,1734.44,4/27/2021,0.223,0.00057735,0.444666667,0.00120185,5/5/2021,0.183666667,0.002333333,0.058,0.00057735,20.0,0.86966766,8a,8/28/2019,tight,0.78585,0.00345,0.83125,0.00325,0.0454,0.0002,0.82155,0.00335,0.0097,0.0001,2019,0.0051274955259334,0.0006688037637508,200000.0,2306.21987500288,0.11185166393764,1.38586517838611e-05,6.65748022416457e-06,8696.6766,100.282242106962,0.0011531099375014,,,,,,,,
27,27,FE-POC27,8/25/2019,2,16.0,,27,10.6803,11.504,0.8237,3184.873,4/30/2021,0.639333333,0.003756476,0.316666667,0.001763834,5/5/2021,0.295,0.00057735,0.090333333,0.000333333,38.0,1.060274967,1a,12/16/2019,wide,0.77195,0.00255,0.81815,0.00215,0.0462,0.0004,0.8074,0.0023,0.01075,0.00015,2019,0.0015908535982439,0.0004538119190309,380000.0,1909.02431588324,0.0540052931466969,8.86105788205683e-06,1.67458105864818e-06,10602.74967,53.2655445664552,0.0007535622299539,,,,,,,,
28,28,FE-POC28,8/25/2019,1,20.0,,28,4.6423,5.0326,0.3903,1542.287,4/27/2021,0.159333333,0.001763834,0.313666667,0.003527668,5/3/2021,0.2955,0.0055,0.0885,0.0015,17.4,0.74216211,1a_Pm,8/28/2019,tight,0.77565,0.00315,0.8214,0.0028,0.04575,0.00035,0.81125,0.00275,0.01015,5.00000000000006e-05,2019,0.0040675524983352,0.0011476463200429,174000.0,2256.38937499959,0.131622713541643,4.57459344467016e-05,1.94516325431e-05,7421.6211,96.2417643408782,0.0006483877514366,,,,,,,,
29,29,FE-POC29,8/25/2019,2,17.5,,29,19.5917,20.8034,1.2117,4655.393,4/27/2021,0.73,0.00321455,1.486333333,0.00617342,5/3/2021,0.708666667,0.011095545,0.207,0.00321455,122.0,4.575295983,3b,8/28/2019,tight,0.7752,0.0064,0.825,0.0069,0.0498,0.0005,0.811,0.0067,0.014,0.0002,2019,0.0055872475916641,0.0007781297948422,1220000.0,4586.07898409436,0.05262713588305,2.32063866573671e-05,1.20837542609185e-05,45752.95983,171.989088144653,0.0007518162269007,,,,,,,,
30,30,FE-POC30,8/25/2019,2,20.0,,30,29.6464,31.1244,1.478,5664.67,4/30/2021,0.533,0.003464102,1.015666667,0.00664162,5/5/2021,0.494666667,0.005456902,0.149333333,0.001763834,49.44444444,1.977359139,1a_Pe,8/28/2019,wide,0.7814,0.0057,0.8284,0.0047,0.047,0.001,0.81605,0.00475,0.01235,4.99999999999997e-05,2019,0.0035859694103981,0.0005272445985379,494444.4444,1745.71314622034,0.0436035991505242,2.34492741854336e-05,6.22749074526848e-06,19773.59139,69.8137451607949,0.000176532790083,,,,,,,,
31,31,FE-POC31,8/29/2019,1,25.0,,31,21.0868,22.1435,1.0567,4067.943,4/30/2021,0.732,0.00305505,0.361,0.001527525,5/5/2021,0.347,0.003605551,0.105333333,0.000881917,68.5,3.517273393,1a,12/16/2019,wide,0.77135,0.00085,0.8185,0.0008,0.04715,4.9999999999998e-05,0.80705,0.00015,0.01145,0.00065,2019,0.0022185659926896,0.0006473378129929,685000.0,4209.74433515907,0.0703672593249217,9.38757622710053e-06,5.41991984646786e-06,35172.73393,216.157981626095,0.003994647909275,,,,,,,,
32,32,FE-POC32,8/29/2019,2,22.0,,32,20.5362,21.8595,1.3233,5078.357,4/27/2021,0.752333333,0.008819171,1.533,0.017953644,5/3/2021,0.754333333,0.013739643,0.22,0.003785939,110.75,4.212400525,1a_Pm,12/16/2019,wide,0.77415,0.00465,0.8258,0.0049,0.05165,0.00025,0.81025,0.00465,0.01555,0.00025,2019,0.0066411242848819,0.0009530641504722,1107500.0,4797.811575673,0.0673643069992913,7.77771566670086e-05,1.64011033489768e-05,42124.00525,182.48581490037,0.0010830274437185,,,,,,,,
33,33,FE-POC33,8/29/2019,1,17.0,biopsy sample,33,2.1805,2.3206,0.1401,594.029,4/30/2021,0.097333333,0.002603417,0.055333333,0.001452966,5/5/2021,0.028,0.0,0.012,0.0,6.966666667,0.390941491,8a,8/28/2019,tight,0.77975,0.00355,0.82665,0.00365,0.0469,9.99999999999994e-05,0.81555,0.00335,0.0111,0.0003,2019,0.0015835365966981,0.0003434175772563,69666.66667,1993.72982361131,0.317661258962105,4.1581171962985e-05,0.0,3909.41491,111.880149740164,0.0085854394314082,,,,,,,,
34,34,FE-POC34,8/29/2019,2,25.0,,34,65.6963,69.3798,3.6835,14023.515,4/30/2021,0.659,0.003511885,1.260333333,0.006359595,5/5/2021,0.6375,0.0165,0.1915,0.0045,62.75,3.818069082,1a_Pe,8/28/2019,wide,0.76445,0.00185,0.81535,0.00225,0.0509,0.0004,0.8007,0.0023,0.01465,4.99999999999997e-05,2019,0.0022468213800177,0.0003413908709763,627500.0,1118.65677043166,0.0261168473096795,1.13373768987305e-05,8.02223978795616e-06,38180.69082,68.0654793395237,8.91359976439568e-05,,,,,,,,
35,35,FE-POC35,8/29/2019,1,25.0,,35,21.5303,23.0896,1.5593,5972.797,4/30/2021,0.573666667,0.002603417,1.094,0.004932883,5/5/2021,0.459666667,0.002728451,0.139333333,0.000881917,75.0,1.922750555,1a_Pm,8/28/2019,tight,0.7754,0.0019,0.82505,0.00175,0.04965,0.00015,0.81195,0.00185,0.0131,0.0001,2019,0.0045790941831775,0.0005831996843354,750000.0,3139.23275811986,0.0548319321751602,2.06472905407634e-05,3.69139031512372e-06,19227.50555,80.4794870393218,0.0004185643677493,,,,,,,,
36,36,FE-POC36,8/29/2019,1,20.0,biopsy sample,36,2.3541,2.5435,0.1894,780.876,4/27/2021,0.100333333,0.002333333,0.192333333,0.004841946,5/3/2021,0.107,0.002516611,0.034666667,0.000881917,17.63333333,0.842114653,1a_Pm,12/16/2019,tight,0.7886,,0.8355,,0.0469,,0.8239,,0.0116,,2019,0.0049260915433436,0.0008878917267274,176333.3333,4516.29537340116,0.297102228778961,0.000124013185192,2.25878884739703e-05,8421.14653,215.684603701484,,,,,,,,,
37,37,FE-POC37,8/29/2019,1,20.0,,37,12.6467,13.4836,0.8369,3234.901,4/30/2021,0.455,0.004725816,0.865,0.008888194,5/5/2021,0.444,0.00305505,0.134666667,0.000881917,103.6666667,3.105550586,1a,12/16/2019,wide,0.76685,0.00765,0.81565,0.00765,0.0488,0.0,0.80245,0.00795,0.0132,0.0003,2019,0.0053479225484798,0.0008325860173155,1036666.667,6409.26363434306,0.0816099163467445,5.49518764252755e-05,5.4525130753615e-06,31055.50586,192.002820859124,0.0018547708260623,,,,,,,,
38,38,FE-POC38,8/29/2019,2,21.0,working slurry; biopsy sample,38,11.3099,12.0857,0.7758,3003.332,4/27/2021,0.203666667,0.005238745,0.404333333,0.010588253,5/3/2021,0.136,0.001732051,0.043,0.00057735,14.66666667,0.981827212,Did not amplify,12/16/2019,tight,0.77925,0.00205,0.8268,0.0004,0.04755,0.00165,0.8147,0.002,0.0121,0.0016,2019,0.002827193261684,0.0003006660602291,146666.6667,1025.52764752615,0.0846060309016785,7.40355421911397e-05,4.03696627612265e-06,9818.27212,68.6516557343644,0.0111875743341063,,,,,,,,
