coral_id,date,site,survey_type,lat,long,field_obs,morphotype,branch_width,depth,length_field,width_field,height_field,circ_field,volume_field,h_substrate,length_lab,width_lab,height_lab,circ_lab,volume_lab,cafi_known,cafi_method,cafi_unk_date,notes,number_of_neighbors,mean_neighbor_distance,mean_total_volume_of_neighbors,combined_total_volume_of_neighbors,mean_live_volume_of_neighbors,combined_live_volume_of_neighbors,number_of_wide_branching_neighbors,mean_total_volume_of_wide_branching_neighbors,mean_live_volume_of_wide_branching_neighbors,number_of_tight_branching_neighbors,mean_total_volume_of_tight_branching_neighbors,mean_live_volume_of_tight_branching_neighbors,number_of_unknown_branching_neighbors,mean_total_volume_of_unknown_branching_neighbors,mean_live_volume_of_unknown_branching_neighbors,combined_total_volume_of_wide_branching_neighbors,combined_live_volume_of_wide_branching_neighbors,combined_total_volume_of_tight_branching_neighbors,combined_live_volume_of_tight_branching_neighbors,combined_total_volume_of_unknown_branching_neighbors,combined_live_volume_of_unknown_branching_neighbors,nub1_nubbin_length,nub1_stump_length,nub1_use,nub2_nubbin_length,nub2_stump_length,nub2_use
MRB-POC01,6/25/2019,MRB1,neighborhood,-17.47428,-149.81492,CO,meandrina,tight,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6/25/2019,clove,6/25/2019,"slurry not retained - proper materials not available at time of sampling, DNA samp exposed to clove oil; formerly PMEA1; field volume not recorded",22,137.2272727,22.3243478,491.1356515,22.31006783,490.8214923,0,0,0,10,38.43215013,38.40073421,12,8.901179185,8.901179185,0,0,384.3215013,384.0073421,106.8141502,106.8141502,NA,NA,NA,NA,NA,NA
MRB-POC02,6/25/2019,MRB1,neighborhood,-17.47428,-149.81492,AS,eudoxi,wide,6,26,20,13,65,3539.527723,0,NA,NA,NA,NA,NA,6/25/2019,clove,6/25/2019,two nubbins frozen on 6/25; formerly PEUD1,21,88.85714286,985.2383627,20690.00562,976.4306834,20505.04435,2,2312.997591,2254.092729,16,784.9400145,780.743043,3,1168.323401,1168.323401,4625.995182,4508.185458,12559.04023,12491.88869,3504.970204,3504.970204,NA,NA,NA,NA,NA,NA
MRB-POC03,6/26/2019,MRB2,neighborhood,-17.4745,-149.81611,AP,eudoxi,wide,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,field measurements not recorded,53,113.3773585,113.6703304,6024.527512,92.82121993,4919.524656,3,509.9852075,506.3200161,27,70.16223593,70.1506004,23,113.0518052,65.49993031,1529.955623,1518.960048,1894.38037,1894.066211,2600.19152,1506.498397,NA,NA,NA,NA,NA,NA
MRB-POC04,6/26/2019,MRB2,neighborhood,-17.4745,-149.81611,JC,meandrina,tight,5,17,15,11,30,1468.694566,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,66,128.1363636,642.011432,42372.75451,387.0077217,25542.50963,7,2045.924816,1241.078698,10,2184.087573,1489.041614,49,126.7429608,40.09270624,14321.47371,8687.550884,21840.87573,14890.41614,6210.405077,1964.542606,NA,NA,NA,NA,NA,NA
MRB-POC05,6/26/2019,MRB3,neighborhood,-17.47475,-149.81746,AP,eudoxi,wide,6,36,22,27,83,11196.63622,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,24,121.7916667,257.7414973,6185.795935,95.65495131,2295.718831,1,3845.309408,192.2654704,11,192.0655509,174.2441525,12,18.98045562,15.5639736,3845.309408,192.2654704,2112.72106,1916.685678,227.7654674,186.7676833,NA,NA,NA,NA,NA,NA
MRB-POC06,6/26/2019,MRB3,neighborhood,-17.47475,-149.81746,JC,meandrina,tight,6,17,14,11,30,1370.781595,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,38,140.1842105,605.045943,22991.74584,231.0923864,8781.510685,6,2846.544744,670.8129346,3,495.3244417,271.4859652,29,152.6380706,135.9370752,17079.26846,4024.877608,1485.973325,814.4578955,4426.504049,3942.175181,NA,NA,NA,NA,NA,NA
MRB-POC07,6/27/2019,MRB4,neighborhood,-17.47496,-149.81852,JC,meandrina,tight,7,25,21,18,69,4948.008429,15,NA,NA,NA,NA,NA,6/27/2019,clove_and_smash,6/29/2019,"brittle star, cowry, 3 worms in base after removal",28,131,327.8850333,9180.780932,180.9407769,5066.341753,4,2113.768257,1085.420262,0,0,0,24,30.23782929,30.19419606,8455.073029,4341.681048,0,0,725.707903,724.6607054,NA,NA,NA,NA,NA,NA
MRB-POC08,6/27/2019,MRB4,neighborhood,-17.47496,-149.81852,AP,eudoxi,wide,7,24,22,18,73,4976.282763,0,NA,NA,NA,NA,NA,6/27/2019,clove_and_smash,6/29/2019,,36,153,76.27088832,2745.75198,72.51479433,2610.532596,6,97.73843811,86.91739675,30,71.97737837,69.63427385,0,0,0,586.4306287,521.5043805,2159.321351,2089.028215,0,0,NA,NA,NA,NA,NA,NA
MRB-POC09,6/28/2019,MRB5,neighborhood,-17.47556,-149.81905,JC,hybrid,tight,5,31,24,15,81,5843.362336,0,NA,NA,NA,NA,NA,6/28/2019,clove_and_smash,6/29/2019,,14,143.7142857,64.62704888,904.7786843,55.69594976,779.7432967,1,197.9203372,197.9203372,2,272.5331627,211.272106,11,14.7083656,14.47988614,197.9203372,197.9203372,545.0663254,422.5442119,161.7920216,159.2787475,NA,NA,NA,NA,NA,NA
MRB-POC10,6/28/2019,MRB5,neighborhood,-17.47556,-149.81905,AP,eudoxi,wide,6,22,25,19,76,5471.607205,0,NA,NA,NA,NA,NA,6/28/2019,clove_and_smash,6/29/2019,,17,154.1176471,685.7603964,11657.92674,80.32005218,1365.440887,2,4850.619057,0,5,94.87609814,36.72521812,10,148.2308134,118.1814796,9701.238114,0,474.3804907,183.6260906,1482.308134,1181.814796,NA,NA,NA,NA,NA,NA
MRB-POC11,6/28/2019,MRB5,neighborhood,-17.47556,-149.81905,LZ,verucosa,tight,6,26,18,10,67,2450.44227,0,NA,NA,NA,NA,NA,6/28/2019,clove_and_smash,6/29/2019,reef angles on original data inversed,16,129.8125,4521.995376,72351.92601,3868.622643,61897.9623,15,4821.367339,4124.436425,1,31.41592654,31.41592654,0,0,0,72320.51009,61866.54637,31.41592654,31.41592654,0,0,NA,NA,NA,NA,NA,NA
MRB-POC12,6/29/2019,MRB6,neighborhood,-17.47423,-149.81905,CO,meandrina,tight,7,26,25,16,82,5445.427266,10,24,25,17,85,5340.707511,6/29/2019,clove_and_smash,6/29/2019,photos taken after collection,15,148.4,60.56292504,908.4438757,53.5257575,802.8863625,0,0,0,4,40.8407045,40.8407045,11,67.73464161,58.13850404,0,0,163.362818,163.362818,745.0810577,639.5235445,43.8,18,y,51.1,18.7,y
MRB-POC13,6/29/2019,MRB6,neighborhood,-17.47423,-149.81905,AS,meandrina,tight,5,22,20,12,65,2764.601535,65,22,19,12,64,2626.371458,6/29/2019,clove_and_smash,6/29/2019,,13,118.3076923,1638.139185,21295.8094,1629.117175,21178.52327,0,0,0,5,1576.137034,1552.679809,8,1676.890529,1676.890529,0,0,7880.685171,7763.399046,13415.12423,13415.12423,48.4,23.3,y,61.7,20.4,y
MRB-POC14,6/30/2019,MRB7,neighborhood,-17.47457,-149.81312,LZ,verucosa,tight,6,26,19,16,72,4138.524722,0,NA,NA,NA,NA,NA,6/30/2019,clove_and_smash,6/30/2019,switch to DNA samples in RNA/DNA shield from ethanol; reef angles on original data reversed; turbinaria surrounding back,21,128.5238095,342.5582656,7193.723578,276.6097532,5808.804817,0,0,0,0,0,0,21,342.5582656,276.6097532,0,0,0,0,7193.723578,5808.804817,50,42,y,48,31,y
MRB-POC15,6/30/2019,MRB7,neighborhood,-17.47457,-149.81312,AP,meandrina,tight,7,21,19,15,59,3133.738672,0,NA,NA,NA,NA,NA,6/30/2019,clove_and_smash,7/2/2019,,25,113.72,156.3675384,3909.188459,156.3130841,3907.827102,0,0,0,5,153.8333203,153.5819929,20,157.0010929,156.9958569,0,0,769.1666014,767.9099643,3140.021858,3139.917138,51,31,y,41,25,y
MRB-POC16,6/30/2019,MRB7,neighborhood,-17.47457,-149.81312,JC,eudoxi,wide,5,23,20,11,68,2649.409805,0,NA,NA,NA,NA,NA,6/30/2019,clove_and_smash,7/2/2019,,40,137.475,278.8948878,11155.79551,225.6291844,9025.167376,5,989.8111253,575.1208951,4,588.0014251,588.0014251,31,124.3462641,122.5018452,4949.055627,2875.604476,2352.0057,2352.0057,3854.734186,3797.5572,39,47,y,22,23,y
MRB-POC17,7/1/2019,MRB8,neighborhood,-17.47437,-149.81621,AP,eudoxi,wide,6,19,15,15,50,2238.384766,0,17,15,9,50,1201.65919,7/2/2019,clove_and_smash,7/2/2019,CAFI stored in ethanol for 24-48 hours,36,93.72222222,1253.408202,45122.69528,860.6218543,30982.38675,2,8300.087791,2582.389161,16,1575.410541,1465.454798,18,184.2195025,131.6850921,16600.17558,5164.778323,25206.56866,23447.27677,3315.951046,2370.331657,44,14,y,42,23,y
MRB-POC18,7/1/2019,MRB8,neighborhood,-17.47437,-149.81621,JC,eudoxi,wide,6,22,19,14,65,3064.100035,0,21,20,14,30,3078.760801,7/2/2019,clove_and_smash,7/3/2019,CAFI stored in ethanol for 24-48 hours; lab circumference suspicious,76,113.25,395.4341964,30052.99892,157.0066044,11932.50194,5,4037.993758,795.4931478,9,506.6690819,506.6690819,62,85.53239353,54.75829776,20189.96879,3977.465739,4560.021737,4560.021737,5303.008399,3395.014461,31,31,y,45,29,y
MRB-POC19,7/1/2019,MRB9,neighborhood,-17.4759,-149.81963,AP,meandrina,tight,7,23,16,15,68,2890.265241,0,21,18,11,63,2177.123709,7/3/2019,clove_and_smash,7/3/2019,CAFI stored in ethanol for 24-48 hours,32,133.1875,205.0543705,6561.739856,204.5700416,6546.241332,0,0,0,12,463.2540167,463.123117,20,50.13458276,49.43819639,0,0,5559.0482,5557.477404,1002.691655,988.7639278,59,11,y,46.5,25,y
MRB-POC20,7/1/2019,MRB9,neighborhood,-17.4759,-149.81963,JC,eudoxi,wide,6,25,19,16,54,3979.350695,20,23,12,24,50,3468.31829,7/3/2019,clove_and_smash,7/3/2019,CAFI stored in ethanol for 24-48 hours,27,127.3703704,554.0062897,14958.16982,483.3592401,13050.69948,2,749.7934467,395.8406744,1,476.4748858,476.4748858,24,540.9211684,490.939302,1499.586893,791.6813487,476.4748858,476.4748858,12982.10804,11782.54325,43,35,y,52,11,y
MRB-POC21,7/1/2019,MRB9,neighborhood,-17.4759,-149.81963,JC/AP,meandrina,tight,6,18,20,10,50,1884.955592,0,18,16,10,50,1507.964474,7/3/2019,clove_and_smash,7/3/2019,CAFI stored in ethanol for 24-48 hours; survey split between JC and AP,18,139.2777778,221.3077492,3983.539485,218.5530378,3933.954681,1,3612.831552,3612.831552,2,92.15338453,75.76474284,15,12.42674427,11.30624289,3612.831552,3612.831552,184.3067691,151.5294857,186.4011641,169.5936434,59,10,y,59,10,y
HAU-POC01,7/4/2019,HAU1,neighborhood,-17.51298,-149.9224,LZ,meandrina,tight,7,31,21,17,78,5794.66765,0,28,20,14,79,4105.014401,7/4/2019,clove_and_smash,7/4/2019,began only smashing tight colonies,1,199,27664.86491,27664.86491,17982.16219,17982.16219,0,0,0,1,27664.86491,17982.16219,0,0,0,0,0,27664.86491,17982.16219,0,0,51.5,30.7,y,52,13.8,y
HAU-POC02,7/4/2019,HAU1,neighborhood,-17.51298,-149.9224,JC,meandrina,tight,5,22,20,15,67,3455.751919,30,22,20,17,69,3916.518841,7/4/2019,clove_and_smash,7/4/2019,,17,138.5294118,2486.077786,42263.32237,2011.571016,34196.70728,1,20943.95102,14660.76572,5,762.5692568,762.5692568,11,1591.502278,1429.372297,20943.95102,14660.76572,3812.846284,3812.846284,17506.52506,15723.09527,46.2,0,y,48.4,21.5,y
HAU-POC03,7/4/2019,HAU1,neighborhood,-17.51298,-149.9224,AP,eudoxi,wide,7,20,17,19,50,3382.44809,0,14,17,14,56,1744.63112,7/4/2019,clove,7/4/2019,,6,160.8333333,1597.674397,9586.046385,1030.246041,6181.476245,0,0,0,3,936.194611,911.716368,3,2259.154184,1148.775714,0,0,2808.583833,2735.149104,6777.462552,3446.327141,59.6,61,y,75.5,55.8,y
HAU-POC04,7/5/2019,HAU2,neighborhood,-17.51298,-149.9224,AP,eudoxi,wide,6,42,38,32,121,26741.23667,0,43,35,29,NA,22852.46856,7/5/2019,clove,7/5/2019,,5,166.6,1335.805196,6679.025982,943.2317783,4716.158892,0,0,0,3,2186.548487,1537.704884,2,59.69026042,51.52211952,0,0,6559.645461,4613.114652,119.3805208,103.044239,69,76,y,64,42,y
HAU-POC05,7/5/2019,HAU2,neighborhood,-17.51298,-149.9224,LZ,verucosa,tight,5,24,20,16,54,4021.238597,6,NA,NA,NA,NA,NA,7/5/2019,clove_and_smash,7/5/2019,,7,127.2857143,4684.039847,32788.27893,3433.270832,24032.89582,0,0,0,2,9838.420995,9838.420995,5,2622.287388,871.2107668,0,0,19676.84199,19676.84199,13111.43694,4356.053834,40,28,y,33,23,y
HAU-POC06,7/5/2019,HAU2,neighborhood,-17.51298,-149.9224,JC,eudoxi,wide,4,24,18,14,64,3166.725395,15,28,22,18,NA,5805.663224,7/5/2019,clove,7/5/2019,partly encroached by Montipora,6,143.5,2069.524161,12417.14496,1463.292772,8779.75663,1,1709.026404,1709.026404,2,3300.766681,2912.04695,3,1368.861732,415.5454417,1709.026404,1709.026404,6601.533362,5824.093901,4106.585197,1246.636325,52,33,y,51,20,y
HAU-POC07,7/7/2019,HAU3,neighborhood,-17.51633,-149.92168,LZ,meandrina,wide,4,34,31,27,86,14900.57396,13,33,20,15,89,5183.627878,7/7/2019,clove_and_smash,7/7/2019,"no neighbors; 15cm circumference colony at 3m distance at 2.5 orientation; 1m circumference colony at 3.5m at 9 orientation, ""teeming with life""",1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,18.5,y,50,30.4,y
HAU-POC08,7/7/2019,HAU3,neighborhood,-17.51633,-149.92168,AP,eudoxi,tight,5,22,18,20,62,4146.902303,0,23,20,19,62,4576.253299,7/7/2019,clove,7/7/2019,,17,146.8235294,2209.679233,37564.54696,1993.842578,33895.32382,0,0,0,10,2523.903178,2347.911158,7,1760.787882,1488.03032,0,0,25239.03178,23479.11158,12325.51518,10416.21224,56,55.1,y,75.3,56.7,y
HAU-POC09,7/7/2019,HAU3,neighborhood,-17.51633,-149.92168,JC,verucosa,tight,5,25,20,23,59,6021.385919,6,25,23,20,63,6021.385919,7/7/2019,clove_and_smash,7/7/2019,,9,142.7777778,4275.649425,38480.84482,4011.182592,36100.64332,1,2545.737247,2545.737247,2,6595.511979,6568.114673,6,3790.680603,3403.112789,2545.737247,2545.737247,13191.02396,13136.22935,22744.08362,20418.67673,60,37.5,y,68.8,33.7,y
HAU-POC10,7/8/2019,HAU4,neighborhood,-17.51298,-149.9224,JC,meandrina,tight,4,22,24,17,77,4699.82261,13,23,24,17,71,4913.45091,7/8/2019,clove_and_smash,7/8/2019,"base overgrown with algae, 90% of colony clear, 95% alive",26,111.4230769,1925.151868,50053.94856,1669.381921,43403.92994,4,852.4188067,687.3804725,5,3251.548397,3207.566099,17,1787.44302,1448.033974,3409.675227,2749.52189,16257.74198,16037.8305,30386.53135,24616.57755,79.5,47.3,y,69.5,64.8,y
HAU-POC11,7/8/2019,HAU4,neighborhood,-17.51298,-149.9224,AP,verucosa,tight,5,22,31,19,99,6784.792934,0,30,29,20,93,9110.618695,7/8/2019,clove_and_smash,7/8/2019,right next to tight meandrina @ 9 reef orientation,2,83,924.6754376,1849.350875,924.6754376,1849.350875,0,0,0,1,1847.25648,1847.25648,1,2.094395102,2.094395102,0,0,1847.25648,1847.25648,2.094395102,2.094395102,72.7,34.2,y,70,34.9,y
HAU-POC12,7/8/2019,HAU4,neighborhood,-17.51298,-149.9224,JC,eudoxi,wide,3,21,22,13,68,3144.734246,12,23,19,18,64,4118.627969,7/8/2019,clove,7/8/2019,,17,133.5294118,2429.683118,41304.61301,2063.538194,35080.1493,1,31.41592654,31.41592654,4,4737.652621,4103.600684,12,1860.21555,1552.860887,31.41592654,31.41592654,18950.61048,16414.40274,22322.5866,18634.33064,49.1,51.4,y,52.2,64.8,y
HAU-POC13,7/8/2019,HAU4,neighborhood,-17.51298,-149.9224,AP,eudoxi,wide,4,20,21,19,63,4178.318229,7,21,22,15,48,3628.539515,7/8/2019,clove,7/8/2019,,21,148.0952381,3811.549753,80042.54482,3305.075151,69406.57818,0,0,0,11,4878.512592,4536.564512,10,2637.890631,1950.436855,0,0,53663.63851,49902.20963,26378.90631,19504.36855,65.6,91.9,y,53.6,93.2,y
HAU-POC14,7/9/2019,HAU5,neighborhood,-17.51948,-149.92129,LZ,eudoxi,wide,4,34,30,26,99,13885.83953,16,35,27,18,84,8906.415173,7/9/2019,clove,7/9/2019,need to add fish from field,10,134.1,3292.179661,32921.79661,3124.104454,31241.04454,0,0,0,4,5610.753579,5560.016858,6,1746.463716,1500.162852,0,0,22443.01432,22240.06743,10478.7823,9000.977112,59.1,67.2,y,65.4,58.6,y
HAU-POC15,7/9/2019,HAU5,neighborhood,-17.51948,-149.92129,AP,verucosa,tight,5,18,16,19,55,2865.1325,0,23,18,10,55,2167.698931,7/9/2019,clove_and_smash,7/9/2019,,12,110.25,1213.527429,14562.32915,892.6486459,10711.78375,1,735.1326809,735.1326809,4,1236.216709,982.2189431,7,1268.904233,863.9678997,735.1326809,735.1326809,4944.866837,3928.875773,8882.329629,6047.775298,52.5,34.5,y,47.2,18.6,y
HAU-POC16,7/9/2019,HAU5,neighborhood,-17.51948,-149.92129,JC,verucosa,tight,6,20,15,17,53,2670.353756,25,19,14,19,51,2646.268212,7/9/2019,clove_and_smash,7/9/2019,no landscape photos; intermediate branch width,21,112.7142857,2028.720856,42603.13797,1786.454196,37515.53811,1,41.88790205,41.88790205,12,2434.908839,2010.942184,8,1667.793,1667.793,41.88790205,41.88790205,29218.90607,24131.30621,13342.344,13342.344,47.3,24,y,42.4,19,y
HAU-POC17,7/10/2019,HAU6,neighborhood,-17.51298,-149.9224,AP,eudoxi,wide,6,32,24,28,86,11259.46807,20,31,30,23,86,11199.77781,7/10/2019,clove_and_smash,7/10/2019,,10,105.6,7964.932214,79649.32214,7729.22899,77292.2899,1,45238.93421,45238.93421,4,7995.615102,7570.452897,5,485.5855045,354.3088196,45238.93421,45238.93421,31982.46041,30281.81159,2427.927522,1771.544098,42.7,47.3,y,49.7,60.7,y
HAU-POC18,7/10/2019,HAU6,neighborhood,-17.51298,-149.9224,JC,eudoxi,wide,5,27,24,25,73,8482.300165,8,27,22,21,48,6531.371127,7/10/2019,clove_and_smash,7/10/2019,some fishing line tangled on branches,2,165.5,5807.757618,11615.51524,5446.683903,10893.36781,0,0,0,1,942.4777961,753.9822369,1,10673.03744,10139.38557,0,0,942.4777961,753.9822369,10673.03744,10139.38557,56.5,45.9,y,45.5,42.7,y
HAU-POC19,7/13/2019,HAU7,neighborhood,-17.51298,-149.9224,LZ,verucosa,tight,4,28,25,17,79,6230.82543,17,28,23,15,76,5057.964172,7/13/2019,clove_and_smash,7/13/2019,,26,127.5769231,1972.517418,51285.45287,1339.281087,34821.30825,1,4555.309348,4327.54388,6,5429.54477,3847.578336,19,744.8881529,389.9102293,4555.309348,4327.54388,32577.26862,23085.47002,14152.8749,7408.294356,53,19.5,y,54.2,27.9,y
HAU-POC20,7/13/2019,HAU7,neighborhood,-17.51948,-149.92129,AP,eudoxi,wide,5,31,32,26,81,13504.65962,25,34,31,23,94,12693.08152,7/13/2019,clove,7/13/2019,,23,167.6521739,1785.471825,41065.85197,1619.07441,37238.71144,4,805.687616,708.9265622,13,2469.533487,2207.456189,6,956.5276964,951.012456,3222.750464,2835.706249,32103.93533,28696.93045,5739.166178,5706.074736,55.4,41.9,y,47.5,37.8,y
HAU-POC21,7/13/2019,HAU7,neighborhood,-17.51948,-149.92129,JC,verucosa,tight,4,22,20,13,62,2994.984996,8,20,19,17,61,3382.44809,7/13/2019,clove_and_smash,7/13/2019,95% alive,18,129.4444444,1720.196511,30963.5372,1524.863624,27447.54524,0,0,0,10,2036.275638,1772.381855,8,1325.097601,1215.465835,0,0,20362.75638,17723.81855,10600.78081,9723.726683,39.4,35.1,y,58.2,33.5,y
MAT-POC01,7/14/2019,MAT1,neighborhood,NA,NA,JC,meandrina,tight,8,26,25,13,75,4424.409654,12,28,23,12,64,4046.371338,7/17/2019,clove_and_smash,7/14/2019,,6,135.1666667,3116.896245,18701.37747,2762.446053,16574.67632,1,329.8672286,329.8672286,0,0,0,5,3674.302048,3248.961818,329.8672286,329.8672286,0,0,18371.51024,16244.80909,58.3,62.3,y,65.9,22.7,y
MAT-POC02,7/14/2019,MAT1,neighborhood,NA,NA,AP,eudoxi,wide,6,20,20,22,61,4607.669225,0,28,20,23,58,6743.95223,7/17/2019,clove,7/14/2019,"lots of fish in overgrown, bleaching Acropora neighbor",12,135,8675.726279,104108.7153,6209.270614,74511.24736,1,502.6548246,502.6548246,2,178.0235837,178.0235837,9,11472.22371,8183.616152,502.6548246,502.6548246,356.0471674,356.0471674,103250.0134,73652.54537,44.2,21,y,50,58.5,y
MAT-POC03,7/14/2019,MAT1,neighborhood,NA,NA,JC,verucosa,tight,7,30,19,13,69,3879.866927,0,28,20,16,54,4691.445029,7/17/2019,clove_and_smash,7/14/2019,,26,139,2488.846226,64710.00188,2407.936118,62606.33908,0,0,0,5,5045.9214,4710.964792,21,1880.018804,1859.595958,0,0,25229.607,23554.82396,39480.39488,39051.51512,40.8,29.5,y,45.1,29.1,y
