,coral_id,position,year,chunk,model,model_type,surface_area_cm2,area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3
1,FE-POC61,1-1,2019,(FE-POC61),1-1 (FE-POC61)_closed,Mesh,1691.734389,326.7825158,9.903430949,-5.803455194,15.70688614,1435.904332,6602.301892
2,FE-POC62,1-2A,2019,(FE-POC62),1-2A (FE-POC62)_closed,Mesh,1580.650949,340.0504451,10.74716512,-5.572637247,16.31980236,1756.028933,7570.751959
3,FE-POC63,1-2B,2019,(FE-POC63),1-2B (FE-POC63)_closed,Mesh,1604.922172,340.2772307,10.89054752,-8.337293477,19.227841,1370.369887,9368.994816
4,FE-POC64,1-2C,2019,(FE-POC64),1-2C (FE-POC64)_closed,Mesh,1563.017502,324.7102555,11.21800086,-5.512060288,16.73006114,1362.917707,6690.676204
5,FE-POC65,1-2D,2019,(FE-POC65),1-2D (FE-POC65)_closed,Mesh,1302.178225,254.2681525,8.055357106,-7.409373001,15.46473011,1061.24861,5623.226162
6,FE-POC66,1-2E,2019,(FE-POC66),1-2E (FE-POC66)_closed,Mesh,1379.505569,277.7197143,7.224268987,-7.417187958,14.64145695,1126.44098,5520.330367
7,FE-POC67,1-2F,2019,(FE-POC67),1-2F (FE-POC67)_closed,Mesh,1841.225799,348.5806154,12.68392228,-5.98650985,18.67043213,1650.680653,9279.342919
8,FE-POC68,1-3,2019,(FE-POC68),1-3 (FE-POC68)_closed,Mesh,1391.666546,277.7342065,9.488413462,-7.133495228,16.62190869,1189.636083,6543.59143
9,FE-POC69,1-4A,2019,(FE-POC69),1-4A (FE-POC69)_closed,Mesh,1247.687872,234.3304047,8.223450563,-7.242605431,15.46605599,1116.37234,4902.926717
10,FE-POC70,1-4B,2019,(FE-POC70),1-4B (FE-POC70)_closed,Mesh,1610.766762,321.3787533,8.789844357,-6.366250665,15.15609502,1020.921924,6788.041865
11,FE-POC71,1-4C,2019,(FE-POC71),1-4C (FE-POC71)_closed,Mesh,1560.577283,273.690377,11.10905991,-6.169718326,17.27877823,1203.573249,6071.535601
12,FE-POC72,1-5,2019,(FE-POC72),1-5 (FE-POC72)_closed,Mesh,1450.864892,288.4395045,11.40719226,-6.72030955,18.12750181,1028.257307,7173.39616
13,FE-POC73,1-6A,2019,(FE-POC73),1-6A (FE-POC73)_closed,Mesh,1261.634924,268.9505673,7.211697268,-6.847426243,14.05912351,1003.799265,4887.985904
14,FE-POC74,1-6B,2019,(FE-POC74),1-6B (FE-POC74)_closed,Mesh,2020.456071,368.6798378,10.5916679,-7.70906709,18.30073499,1523.634966,8336.324829
15,FE-POC75,1-6C,2019,(FE-POC75),1-6C (FE-POC75)_closed,Mesh,1543.019296,294.7589687,9.80338322,-5.536527897,15.33991112,1211.917867,5654.40257
16,FE-POC76,1-7,2019,(FE-POC76),1-7 (FE-POC76)_closed,Mesh,1927.93044,386.541727,7.611604102,-7.817447055,15.42905116,1619.017235,8512.220825
17,FE-POC77,1-8,2019,(FE-POC77),1-8 (FE-POC77)_closed,Mesh,2958.753237,501.5475609,13.01010735,-8.292134304,21.30224165,3336.920305,13875.62542
18,FE-POC78,1-9,2019,(FE-POC78),1-9 (FE-POC78)_closed,Mesh,2854.290728,603.3792194,12.90558783,-6.377013337,19.28260117,2302.803293,14642.32521
19,FE-POC79,2-1,2019,(FE-POC79)-2,2-1 (FE-POC79)-2_closed,Mesh,1702.623443,318.279623,13.77104773,-3.477979242,17.24902697,985.3791242,7240.662942
20,FE-POC80,2-2,2019,(FE-POC80)-2,2-2 (FE-POC80)-2_closed,Mesh,1405.709698,282.5320653,6.672550343,-5.076676596,11.74922694,638.9650263,4434.752238
21,FE-POC81,2-3,2019,(FE-POC81)-2,2-3 (FE-POC81)-2_closed,Mesh,1194.42664,236.3031479,8.9285339,-6.599254314,15.52778821,745.3180655,4790.943612
22,FE-POC82,2-4A,2019,(FE-POC82)-2,2-4A (FE-POC82)-2_closed,Mesh,1413.304073,277.7525118,7.546110766,-5.577090512,13.12320128,929.7039505,5180.392565
23,FE-POC83,2-4B,2019,(FE-POC83)-2,2-4B (FE-POC83)-2_closed,Mesh,2107.078054,302.4450662,11.10427317,-6.467381842,17.57165501,1213.44871,6843.952792
24,FE-POC84,2-4C,2019,(FE-POC84)-2,2-4C (FE-POC84)-2_closed,Mesh,1543.488278,262.6026469,8.120844992,-6.059359801,14.18020479,719.9322096,4578.571504
25,FE-POC85,2-5,2019,(FE-POC85)-2,2-5 (FE-POC85)-2_closed,Mesh,1074.12935,206.4799293,8.140877968,-6.193988664,14.33486663,637.5110588,4187.182847
26,FE-POC86,2-6A,2019,(FE-POC86)-2,2-6A (FE-POC86)-2_closed,Mesh,1502.974657,295.730461,8.248149324,-5.446234511,13.69438383,830.110866,5231.132928
27,FE-POC87,2-6B,2019,(FE-POC87)-2,2-6B (FE-POC87)-2_closed,Mesh,2041.203175,383.5780053,8.502841149,-5.814681854,14.317523,1083.638419,7322.197755
28,FE-POC88,2-6C,2019,(FE-POC88)-2,2-6C (FE-POC88)-2_closed,Mesh,1129.803656,213.0745872,6.87901971,-5.216768433,12.09578814,668.4835427,3740.335487
29,FE-POC89,2-6D,2019,(FE-POC89)-2,2-6D (FE-POC89)-2_closed,Mesh,1612.51596,259.6806796,10.39706746,-6.038149126,16.43521659,1091.215663,5726.16901
30,FE-POC90,2-6E,2019,(FE-POC90)-2,2-6E (FE-POC90)-2_closed,Mesh,1960.518365,335.7664495,12.47091515,-4.977302618,17.44821777,1041.323249,8001.318915
31,FE-POC91,2-6F,2019,(FE-POC91)-2,2-6F (FE-POC91)-2_closed,Mesh,1295.708757,226.5514731,10.40293128,-7.062345061,17.46527634,782.9879499,5425.683241
32,FE-POC92,2-7,2019,(FE-POC92),2-7 (FE-POC92)_closed,Mesh,1980.303214,375.6841956,12.47968386,-4.365287105,16.84497097,1424.166332,9377.282377
33,FE-POC93,2-8,2019,(FE-POC93),2-8 (FE-POC93)_closed,Mesh,1954.807187,345.1459114,11.39393135,-5.837321806,17.23125316,1319.661535,7853.712466
34,FE-POC94,2-9A,2019,(FE-POC94),2-9A (FE-POC94)_closed,Mesh,1634.629228,319.3536676,9.299914797,-5.067731588,14.36764639,1067.923333,5968.072948
35,FE-POC95,2-9B,2019,(FE-POC95),2-9B (FE-POC95)_closed,Mesh,1591.66686,269.1535442,9.969880274,-6.445156558,16.41503683,1177.02406,6491.528909
36,FE-POC96,2-9C,2019,(FE-POC96),2-9C (FE-POC96)_closed,Mesh,1668.984588,320.9246208,9.581395659,-5.882254846,15.4636505,1536.236522,6583.030063
37,FE-POC97,3-1,2019,(FE-POC97),3-1 (FE-POC97)_closed,Mesh,1505.540274,326.4426746,10.60033031,-5.640913886,16.2412442,1191.134942,8087.408396
38,FE-POC98,3-2,2019,(FE-POC98),3-2 (FE-POC98)_closed,Mesh,1053.755157,237.6132601,5.87202983,-6.097742798,11.96977263,665.4078942,3636.88346
39,FE-POC99,3-3,2019,(FE-POC99),3-3 (FE-POC99)_closed,Mesh,1715.024667,340.1622484,10.4867098,-5.595523716,16.08223352,1700.855082,6803.438724
40,FE-POC100,3-4,2019,(FE-POC100),3-4 (FE-POC100)_closed,Mesh,1404.82915,341.8446695,11.5796894,-4.768362873,16.34805227,851.2963759,7117.232238
41,FE-POC101,3-5A,2019,(FE-POC101),3-5A (FE-POC101)_closed,Mesh,1511.25442,294.9114624,13.06558835,-4.704740493,17.77032884,1096.081485,7753.055733
42,FE-POC102,3-5B,2019,(FE-POC102),3-5B (FE-POC102)_closed,Mesh,1673.701706,336.1636299,13.23762327,-5.261522758,18.49914603,1262.518656,8459.219303
43,FE-POC103,3-5C,2019,(FE-POC103),3-5C (FE-POC103)_closed,Mesh,1721.472342,286.3589326,14.54826482,-5.631256668,20.17952149,1399.399605,7470.269897
44,FE-POC104,3-5D,2019,(FE-POC104),3-5D (FE-POC104)_closed,Mesh,1452.419577,318.4274835,8.812238653,-6.555560305,15.36779896,1155.240643,7019.251672
45,FE-POC105,3-5E,2019,(FE-POC105),3-5E (FE-POC105)_closed,Mesh,1766.061728,277.3092729,11.03363705,-7.044943042,18.07858009,1226.377675,6481.003608
46,FE-POC106,3-5F,2019,(FE-POC106),3-5F (FE-POC106)_closed,Mesh,1287.964275,260.0750475,7.015898804,-6.139831574,13.15573038,1048.092114,4914.941825
47,FE-POC107,3-6,2019,(FE-POC107),3-6 (FE-POC107)_closed,Mesh,1007.639225,219.6344008,7.32462063,-5.459012441,12.78363307,725.2112887,4005.532887
48,FE-POC108,3-7,2019,(FE-POC108),3-7 (FE-POC108)_closed,Mesh,1545.726853,320.4715141,7.936427266,-7.924150758,15.86057802,930.827739,7006.824858
49,FE-POC109,3-8A,2019,(FE-POC109),3-8A (FE-POC109)_closed,Mesh,1856.866162,356.9561305,10.68961903,-5.395424224,16.08504325,1097.785563,8075.00753
50,FE-POC110,3-8B,2019,(FE-POC110),3-8B (FE-POC110)_closed,Mesh,1270.358217,250.111075,7.256247728,-7.2875254,14.54377313,789.1912335,4957.156675
51,FE-POC111,3-8C,2019,(FE-POC111),3-8C (FE-POC111)_closed,Mesh,1677.237228,293.3923114,9.364644449,-6.432653708,15.79729816,1117.728826,6590.789973
52,FE-POC112,3-9A,2019,(FE-POC112)_issues_with_model,3-9A (FE-POC112)_closed,Mesh,1923.030841,281.3701808,12.68319127,-5.817277581,18.50046885,905.8204352,7173.206125
53,FE-POC113,3-9B,2019,(FE-POC113),3-9B (FE-POC113)_closed,Mesh,1329.339919,230.734545,10.53740307,-4.541673077,15.07907615,837.0436453,4653.289403
54,FE-POC114,3-9C,2019,(FE-POC114),3-9C (FE-POC114)_closed,Mesh,1013.928618,206.3991502,6.200319116,-6.492884648,12.69320376,621.8878776,3493.606227
55,FE-POC61,1-1A,2021,(FE-POC61),1-1A (FE-POC61)_closed,Mesh,3084.27876,591.4145776,13.237083,-6.918924236,20.15600723,3938.176198,15793.11154
56,FE-POC62,1-2A,2021,(FE-POC62),1-2A (FE-POC62)_closed,Mesh,2721.19326,538.8824179,13.8919314,-6.67788403,20.56981543,4044.300887,14567.38467
57,FE-POC63,1-2B,2021,(FE-POC63),1-2B (FE-POC63)_closed,Mesh,1771.565206,368.1696143,10.83331778,-8.484223335,19.31754111,1712.414052,9884.373221
58,FE-POC64,1-2C,2021,(FE-POC64),1-2C (FE-POC64)_closed,Mesh,2162.074622,486.7794634,16.99767534,-2.482749818,19.48042516,2455.806676,12366.33946
59,FE-POC65,1-2D,2021,(FE-POC65),1-2D (FE-POC65)_closed,Mesh,2015.07118,358.0073606,11.47327316,-7.137039084,18.61031224,1701.287286,8846.53341
60,FE-POC66,1-2E,2021,(FE-POC66),1-2E (FE-POC66)_closed,Mesh,1638.649151,344.5172416,9.172148837,-7.112269368,16.28441821,2115.322496,7624.942909
61,FE-POC67,1-2F,2021,(FE-POC67),1-2F (FE-POC67)_closed,Mesh,2465.111776,579.2953526,15.13798319,-8.078535462,23.21651865,2977.007763,19683.79508
62,FE-POC68,1-3A,2021,(FE-POC68),1-3A (FE-POC68)_closed,Mesh,2157.211549,398.4278478,13.20835436,-6.198619534,19.40697389,2821.171939,10619.94155
63,FE-POC69,1-4A,2021,(FE-POC69),1-4A (FE-POC69)_closed,Mesh,2216.155996,403.2194875,11.24647949,-7.876703162,19.12318266,2879.510111,10501.17482
64,FE-POC70,1-4B,2021,(FE-POC70),1-4B (FE-POC70)_closed,Mesh,2447.982537,435.4438389,11.88489102,-8.100554874,19.98544589,2898.661343,11635.54708
65,FE-POC71,1-4C,2021,(FE-POC71),1-4C (FE-POC71)_closed,Mesh,2311.67053,413.7543846,13.72949668,-6.984695181,20.71419186,2630.090651,11184.60688
66,FE-POC72,1-5A,2021,(FE-POC72),1-5A (FE-POC72)_closed,Mesh,2015.36529,360.8510449,15.04122593,-4.583527775,19.62475371,1835.531217,9777.441873
67,FE-POC73,1-6A,2021,(FE-POC73),1-6A (FE-POC73)_closed,Mesh,2097.804872,430.8970148,10.95463103,-6.46808695,17.42271798,1922.805509,10132.59594
68,FE-POC74,1-6B,2021,(FE-POC74),1-6B (FE-POC74)_closed,Mesh,2129.475183,393.0476996,7.60071262,-12.86626782,20.46698044,2507.179647,10090.31128
69,FE-POC75,1-6C,2021,(FE-POC75),1-6C (FE-POC75)_closed,Mesh,2816.051252,503.5691226,13.95216286,-5.984413199,19.93657606,2773.017747,12499.25691
70,FE-POC76,1-7A,2021,(FE-POC76),1-7A (FE-POC76)_closed,Mesh,2174.812238,565.69617,6.454153904,-13.88701579,20.3411697,4310.449142,16119.99132
71,FE-POC77,1-8A,2021,(FE-POC77),1-8A (FE-POC77)_closed,Mesh,3150.380074,622.0382438,13.48865101,-9.62570671,23.11435772,5827.472609,20789.66437
72,FE-POC78,1-9A,2021,(FE-POC78),1-9A (FE-POC78)_closed,Mesh,3854.356736,780.4819267,17.98467403,-4.271203158,22.25587719,4531.111676,21764.43113
73,FE-POC79,2-1A,2021,(FE-POC79),2-1A (FE-POC79)_closed,Mesh,2214.673752,380.3422995,16.73585783,-3.753309619,20.48916745,1926.519948,10798.2985
74,FE-POC80,2-2A,2021,(FE-POC80),2-2A (FE-POC80)_closed,Mesh,2069.474776,446.0294501,12.48468417,-5.141233433,17.62591761,2715.013218,9934.097185
75,FE-POC81,2-3A,2021,(FE-POC81),2-3A (FE-POC81)_closed,Mesh,1362.540552,275.0826544,12.74520939,-2.474981612,15.220191,1190.960663,5499.870619
76,FE-POC82,2-4A,2021,(FE-POC82),2-4A (FE-POC82)_closed,Mesh,1920.890829,416.2529786,10.63811373,-5.27856232,15.91667605,1992.197104,9355.719966
77,FE-POC83,2-4B,2021,(FE-POC83),2-4B (FE-POC83)_closed,Mesh,1664.88816,322.2914772,10.48199327,-7.860038754,18.34203203,2490.340459,7715.790855
78,FE-POC84,2-4C,2021,(FE-POC84),2-4C (FE-POC84)_closed,Mesh,2151.822149,462.1525484,12.5389547,-5.632062332,18.17101704,2053.687042,10515.0696
79,FE-POC85,2-5A,2021,(FE-POC85),2-5A (FE-POC85)_closed,Mesh,1239.572309,249.5745506,12.25896935,-2.986571343,15.24554069,1303.990463,4818.358486
80,FE-POC86,2-6A,2021,(FE-POC86),2-6A (FE-POC86)_closed,Mesh,2718.93174,508.3296743,13.34539658,-4.441082577,17.78647916,2823.356262,12290.24673
81,FE-POC87,2-6B,2021,(FE-POC87),2-6B (FE-POC87)_closed,Mesh,2571.451243,533.4568657,11.83771153,-5.901993872,17.7397054,2315.212546,13058.57533
82,FE-POC88,2-6C,2021,(FE-POC88),2-6C (FE-POC88)_closed,Mesh,1621.916849,384.8491136,8.846993336,-5.505649626,14.35264296,1946.294301,7251.983511
83,FE-POC89,2-6D,2021,(FE-POC89),2-6D (FE-POC89)_closed,Mesh,2305.272604,430.4148469,14.30904152,-3.879989785,18.1890313,2750.820314,9794.246584
84,FE-POC90,2-6E,2021,(FE-POC90),2-6E (FE-POC90)_closed,Mesh,2314.359452,431.3082271,13.99409475,-4.85477553,18.84887028,2298.348505,10563.7534
85,FE-POC91,2-6F,2021,(FE-POC91),2-6F (FE-POC91)_closed,Mesh,1769.235894,323.9847399,16.99077361,-3.257423996,20.2481976,1550.965893,9047.841723
86,FE-POC92,2-7A,2021,(FE-POC92),2-7A (FE-POC92)_closed,Mesh,2619.47506,569.4564899,15.19430833,-3.7268521,18.92116043,3041.566519,16030.66658
87,FE-POC93,2-8A,2021,(FE-POC93),2-8A (FE-POC93)_closed,Mesh,2336.501271,476.6598577,14.83109607,-5.360009125,20.1911052,3488.253194,13184.24848
88,FE-POC94,2-9A,2021,(FE-POC94),2-9A (FE-POC94)_closed,Mesh,2768.73506,597.6409928,13.71179662,-6.05814231,19.76993893,4280.213021,14717.73793
89,FE-POC95,2-9B,2021,(FE-POC95),2-9B (FE-POC95)_closed,Mesh,2385.3862,473.5218736,12.81104224,-6.443308039,19.25435028,3842.710415,12711.00633
90,FE-POC96,2-9C,2021,(FE-POC96),2-9C (FE-POC96)_closed,Mesh,2094.747846,426.0760199,13.49700716,-6.784209486,20.28121664,2799.52348,12053.59386
91,FE-POC97,3-1A,2021,(FE-POC97),3-1A (FE-POC97)_closed,Mesh,2377.21412,509.737906,10.18718996,-8.427899288,18.61508924,2451.977461,15319.36094
92,FE-POC98,3-2A,2021,(FE-POC98),3-2A (FE-POC98)_closed,Mesh,1639.201678,349.2979155,9.598713111,-4.902924828,14.50163794,1364.930646,7018.07236
93,FE-POC99,3-3A,2021,(FE-POC99),3-3A (FE-POC99)_closed,Mesh,2664.738139,483.9310048,13.41353394,-6.373872455,19.7874064,2858.403582,12379.56159
94,FE-POC100,3-4A,2021,(FE-POC100),3-4A (FE-POC100)_closed,Mesh,2125.33246,464.2378804,13.74456296,-3.745091394,17.48965435,1602.020344,10389.62807
95,FE-POC101,3-5A,2021,(FE-POC101),3-5A (FE-POC101)_closed,Mesh,2228.14212,428.6165602,15.30764834,-5.328976247,20.63662458,2083.953669,12649.75328
96,FE-POC102,3-5B,2021,(FE-POC102),3-5B (FE-POC102)_closed,Mesh,1953.951521,349.183095,14.33741763,-7.946832671,22.2842503,2219.573592,10658.81649
97,FE-POC103,3-5C,2021,(FE-POC103),3-5C (FE-POC103)_closed,Mesh,2566.612849,444.9412529,17.28446672,-4.835674913,22.12014164,3344.794155,12460.2736
98,FE-POC104,3-5D,2021,(FE-POC104),3-5D (FE-POC104)_closed,Mesh,1544.667962,394.9053112,11.01605336,-4.308042796,15.32409616,1814.913955,8269.691787
99,FE-POC105,3-5E,2021,(FE-POC105),3-5E (FE-POC105)_closed,Mesh,2132.193481,408.1031139,14.9001537,-7.545166085,22.44531979,2864.374105,11355.41546
100,FE-POC106,3-5F,2021,(FE-POC106),3-5F (FE-POC106)_closed,Mesh,1617.957562,405.0035771,11.03937875,-5.825058695,16.86443744,1836.888091,9520.16791
101,FE-POC107,3-6A,2021,(FE-POC107),3-6A (FE-POC107)_closed,Mesh,1451.572027,293.5867196,6.962186789,-9.182905363,16.14509215,1802.659173,6899.624135
102,FE-POC108,3-7A,2021,(FE-POC108),3-7A (FE-POC108)_closed,Mesh,2694.114219,518.2152121,11.64650274,-6.781686082,18.42818882,3284.021226,12626.6491
103,FE-POC109,3-8A,2021,(FE-POC109),3-8A (FE-POC109)_closed,Mesh,2606.543862,494.0466681,13.10327344,-6.198306068,19.30157951,3227.584461,14143.46245
104,FE-POC110,3-8B,2021,(FE-POC110),3-8B (FE-POC110)_closed,Mesh,1501.112291,332.3298598,9.551417903,-7.755423114,17.30684102,1586.284093,8775.772714
105,FE-POC111,3-8C,2021,(FE-POC111),3-8C (FE-POC111)_closed,Mesh,2040.682604,403.0319407,10.94183269,-6.271250149,17.21308284,2145.862814,9272.652846
106,FE-POC112,3-9A,2021,(FE-POC112),3-9A (FE-POC112)_closed,Mesh,2301.677547,433.6291969,15.79456577,-6.485247148,22.27981292,3240.298834,13345.20253
107,FE-POC113,3-9B,2021,(FE-POC113),3-9B (FE-POC113)_closed,Mesh,2613.69588,471.9019122,18.04454661,-4.483069647,22.52761626,4402.66412,14382.54276
108,FE-POC114,3-9C,2021,(FE-POC114),3-9C (FE-POC114)_closed,Mesh,963.2596112,260.24748,8.675872363,-5.003667531,13.67953989,1350.525796,4912.650716
